date,title,words,author
1898,Helbeck of Bannisdale (Vol. 1-2),137055,Humphrey Ward [Mary Augusta Ward]
1898,Penelope’s Experience in Scotland,58486,Kate Douglas Wiggin
1898,Swallow,107090,Henry Rider Haggard
1898,The Battle of the Strong,125433,Gilbert Parker
1898,The Castle Inn,110487,Stanley John Weyman
1898,The Second Thoughts of an Idle Fellow,64146,Jerome Kapla Jerome
1898,The Town Traveller,64853,George Gissing
1898,The Valiant Runaways,46223,Gertrude Atherton
1899,A Woman Intervenes,97796,Robert Barr
1899,Hilda Wade,89009,Grant Allen
1899,"Jennie Baxter,Journalist",68536,Robert Barr
1899,The Crown of Life,120042,George Gissing
1899,The Sky Pilot,44835,Ralph Connor
1899,The Story of the Treasure Seekers,53064,Edith Nesbit
1899,The Strong Arm,96185,Robert Barr
1900,An Unpardonable Liar,22032,Gilbert Parker
1900,Black Heart and White Heart,21744,Henry Rider Haggard
1900,Eben Holden,89045,Irving Bacheller
1900,Eleanor,148209,Humphrey Ward [Mary Augusta Ward]
1900,Senator North,102389,Gertrude Atherton
1900,The Doomswoman,50521,Gertrude Atherton
1900,The Girl at the Halfway House,84402,Emerson Hough
1900,The Isle of Unrest,74582,Henry Seton Merriman
1900,The Master Christian,226736,Marie Corelli
1900,The Touchstone,27057,Edith Wharton
1900,The Wonderful Wizard of Oz,39467,Lyman Frank Baum
1900,Three Men on the Bummel,67410,Jerome Kapla Jerome
1901,American Fairy Tales,31853,Lyman Frank Baum
1901,By the Ionian Sea,40075,George Gissing
1901,Count Hannibal,110873,Stanley John Weyman
1901,D’ri and I,66165,Irving Bacheller
1901,Emily Fox-Setton,78363,Frances Burnett
1901,Lysbeth,157597,Henry Rider Haggard
1901,Marietta,117155,Francis Marion Crawford
1901,Our Friend the Charlatan,132161,George Gissing
1901,Penelope’s Irish Experiences,71734,Kate Douglas Wiggin
1901,Sister Teresa,114640,George Augustus Moore
1901,The Man from Glengarry,117785,Ralph Connor
1901,The Right of Way,119275,Gilbert Parker
1901,The Velvet Glove,73639,Henry Seton Merriman
1901,The Wouldbegoods,78818,Edith Nesbit
1902,Five Children and It,53634,Edith Nesbit
1902,Glengarry Schooldays,59958,Ralph Connor
1902,Paul Kelver,136854,Jerome Kapla Jerome
1902,Temporal Power,202667,Marie Corelli
1902,The Diary of a Goose Girl,18528,Kate Douglas Wiggin
1902,The Mississippi Bubble,93703,Emerson Hough
1902,The Splendid Idle Forties,86059,Gertrude Atherton
1902,The Surprising Adventures of the Magical Monarch of Mo and his People,32256,Lyman Frank Baum
1902,The Valley of Decision,153878,Edith Wharton
1902,The Vultures,92658,Henry Seton Merriman
1903,Barlasch of the Guard,75438,Henry Seton Merriman
